"pid","did","lptime","pborough","cnt"
24,236,15,"""Manhattan""",17
24,236,16,"""Manhattan""",11
24,236,17,"""Manhattan""",12
24,236,18,"""Manhattan""",12
24,237,8,"""Manhattan""",13
24,237,10,"""Manhattan""",16
24,237,12,"""Manhattan""",11
24,237,14,"""Manhattan""",11
24,237,15,"""Manhattan""",17
24,238,7,"""Manhattan""",33
24,238,8,"""Manhattan""",37
24,238,9,"""Manhattan""",22
24,238,10,"""Manhattan""",32
24,238,11,"""Manhattan""",23
24,238,12,"""Manhattan""",27
24,238,13,"""Manhattan""",32
24,238,14,"""Manhattan""",39
24,238,15,"""Manhattan""",38
24,238,16,"""Manhattan""",27
24,238,17,"""Manhattan""",39
24,238,18,"""Manhattan""",23
24,238,19,"""Manhattan""",15
24,238,20,"""Manhattan""",12
24,239,7,"""Manhattan""",15
24,239,8,"""Manhattan""",45
24,239,9,"""Manhattan""",18
24,239,10,"""Manhattan""",23
24,239,11,"""Manhattan""",30
24,239,12,"""Manhattan""",31
24,239,13,"""Manhattan""",32
24,239,14,"""Manhattan""",33
24,239,15,"""Manhattan""",43
24,239,16,"""Manhattan""",27
24,239,17,"""Manhattan""",32
24,239,18,"""Manhattan""",15
24,239,19,"""Manhattan""",16
24,239,20,"""Manhattan""",17
41,24,7,"""Manhattan""",15
41,24,8,"""Manhattan""",13
41,41,7,"""Manhattan""",17
41,41,8,"""Manhattan""",16
41,41,9,"""Manhattan""",17
41,41,10,"""Manhattan""",17
41,41,11,"""Manhattan""",19
41,41,12,"""Manhattan""",28
41,41,13,"""Manhattan""",23
41,41,14,"""Manhattan""",29
41,41,15,"""Manhattan""",39
41,41,16,"""Manhattan""",33
41,41,17,"""Manhattan""",23
41,41,18,"""Manhattan""",25
41,41,19,"""Manhattan""",17
41,41,20,"""Manhattan""",17
41,41,21,"""Manhattan""",13
41,41,22,"""Manhattan""",13
41,41,23,"""Manhattan""",22
41,42,9,"""Manhattan""",14
41,42,10,"""Manhattan""",20
41,42,11,"""Manhattan""",12
41,42,12,"""Manhattan""",22
41,42,13,"""Manhattan""",23
41,42,14,"""Manhattan""",25
41,42,15,"""Manhattan""",22
41,42,16,"""Manhattan""",25
